sheet,cell,column_role,old_value,new_value,reason
Table 1,D28,P-value (Before PSM),0.007,-,either cohort count ≤10 (min=10)
Table 1,E28,ASD (Before PSM),0.126,-,either cohort count ≤10 (min=10)
Table 1,B28,Cohort 1 count (Before PSM),2.7% (10),2.7% (≤10),count 10 ≤10
Table 1,H28,P-value (After PSM),1,-,either cohort count ≤10 (min=10)
Table 1,I28,ASD (After PSM),<0.001,-,either cohort count ≤10 (min=10)
Table 1,F28,Cohort 1 count (After PSM),3.0% (10),3.0% (≤10),count 10 ≤10
Table 1,G28,Cohort 2 count (After PSM),3.0% (10),3.0% (≤10),count 10 ≤10
Table 1,D29,P-value (Before PSM),--,-,either cohort count ≤10 (min=0)
Table 1,E29,ASD (Before PSM),--,-,either cohort count ≤10 (min=0)
Table 1,B29,Cohort 1 count (Before PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,C29,Cohort 2 count (Before PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,H29,P-value (After PSM),--,-,either cohort count ≤10 (min=0)
Table 1,I29,ASD (After PSM),--,-,either cohort count ≤10 (min=0)
Table 1,F29,Cohort 1 count (After PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,G29,Cohort 2 count (After PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,D30,P-value (Before PSM),0.005,-,either cohort count ≤10 (min=10)
Table 1,E30,ASD (Before PSM),0.131,-,either cohort count ≤10 (min=10)
Table 1,B30,Cohort 1 count (Before PSM),2.7% (10),2.7% (≤10),count 10 ≤10
Table 1,H30,P-value (After PSM),0.001,-,either cohort count ≤10 (min=0)
Table 1,I30,ASD (After PSM),0.251,-,either cohort count ≤10 (min=0)
Table 1,F30,Cohort 1 count (After PSM),3.0% (10),3.0% (≤10),count 10 ≤10
Table 1,G30,Cohort 2 count (After PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,H31,P-value (After PSM),0.824,-,either cohort count ≤10 (min=10)
Table 1,I31,ASD (After PSM),0.017,-,either cohort count ≤10 (min=10)
Table 1,G31,Cohort 2 count (After PSM),3.0% (10),3.0% (≤10),count 10 ≤10
Table 1,D34,P-value (Before PSM),0.164,-,either cohort count ≤10 (min=0)
Table 1,E34,ASD (Before PSM),0.101,-,either cohort count ≤10 (min=0)
Table 1,B34,Cohort 1 count (Before PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,C34,Cohort 2 count (Before PSM),0.5% (10),0.5% (≤10),count 10 ≤10
Table 1,H34,P-value (After PSM),--,-,either cohort count ≤10 (min=0)
Table 1,I34,ASD (After PSM),--,-,either cohort count ≤10 (min=0)
Table 1,F34,Cohort 1 count (After PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,G34,Cohort 2 count (After PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,D35,P-value (Before PSM),--,-,either cohort count ≤10 (min=0)
Table 1,E35,ASD (Before PSM),--,-,either cohort count ≤10 (min=0)
Table 1,B35,Cohort 1 count (Before PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,C35,Cohort 2 count (Before PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,H35,P-value (After PSM),--,-,either cohort count ≤10 (min=0)
Table 1,I35,ASD (After PSM),--,-,either cohort count ≤10 (min=0)
Table 1,F35,Cohort 1 count (After PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,G35,Cohort 2 count (After PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,D36,P-value (Before PSM),0.164,-,either cohort count ≤10 (min=0)
